StatusA11,StatusA12,StatusA13,StatusA14,Month,Credit_HistoryA30,Credit_HistoryA31,Credit_HistoryA32,Credit_HistoryA33,Credit_HistoryA34,PurposeA40,PurposeA41,PurposeA42,PurposeA43,PurposeA44,PurposeA45,PurposeA46,PurposeA48,PurposeA49,PurposeA410,Credit_Amount,SavingsA61,SavingsA62,SavingsA63,SavingsA64,SavingsA65,EmploymentA71,EmploymentA72,EmploymentA73,EmploymentA74,EmploymentA75,Investment_as_Income_Percentage,Sex,Other_Debtors101,Other_Debtors102,Other_Debtors103,Residence_Since,Property121,Property122,Property123,Property124,Age,Installment_PlansA141,Installment_PlansA142,Installment_PlansA143,Housing151,Housing152,Housing153,Number_of_Credits,Skill_LevelA171,Skill_LevelA172,Skill_LevelA173,Skill_LevelA174,People_Liable_For,TelephoneA191,TelephoneA192,Foreign_WorkerA201,Foreign_WorkerA202,Label,LabelPred
1,0,0,0,42,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7882,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,4,0,1,0,0,45,0,0,1,0,0,1,1,0,0,1,0,2,1,0,1,0,1,1
0,0,0,1,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2835,0,0,1,0,0,0,0,0,0,1,3,1,1,0,0,4,0,1,0,0,53,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
0,1,0,0,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5234,1,0,0,0,0,1,0,0,0,0,4,1,1,0,0,2,0,0,1,0,28,0,0,1,0,1,0,2,0,0,0,1,1,1,0,1,0,2,2
0,1,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1295,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,1,0,25,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,2,2
1,0,0,0,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1199,1,0,0,0,0,0,0,0,0,1,4,1,1,0,0,4,0,0,1,0,60,0,0,1,0,1,0,2,0,1,0,0,1,1,0,1,0,2,1
1,0,0,0,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1403,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,0,1,0,28,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,2
0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1264,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0,4,0,0,0,1,57,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1
0,1,0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,458,1,0,0,0,0,0,0,1,0,0,4,1,1,0,0,3,1,0,0,0,24,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
1,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1352,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,23,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1
0,0,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7228,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,4,0,1,0,0,39,0,0,1,0,1,0,2,0,1,0,0,1,1,0,1,0,1,1
