StatusA11,StatusA12,StatusA13,StatusA14,Month,Credit_HistoryA30,Credit_HistoryA31,Credit_HistoryA32,Credit_HistoryA33,Credit_HistoryA34,PurposeA40,PurposeA41,PurposeA42,PurposeA43,PurposeA44,PurposeA45,PurposeA46,PurposeA48,PurposeA49,PurposeA410,Credit_Amount,SavingsA61,SavingsA62,SavingsA63,SavingsA64,SavingsA65,EmploymentA71,EmploymentA72,EmploymentA73,EmploymentA74,EmploymentA75,Investment_as_Income_Percentage,Sex,Other_Debtors101,Other_Debtors102,Other_Debtors103,Residence_Since,Property121,Property122,Property123,Property124,Age,Installment_PlansA141,Installment_PlansA142,Installment_PlansA143,Housing151,Housing152,Housing153,Number_of_Credits,Skill_LevelA171,Skill_LevelA172,Skill_LevelA173,Skill_LevelA174,People_Liable_For,TelephoneA191,TelephoneA192,Foreign_WorkerA201,Foreign_WorkerA202,Label,LabelPred
0,1,0,0,48,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5951,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,1,0,0,0,22,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,2,2
1,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8072,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,3,0,0,1,0,25,1,0,0,0,1,0,3,0,0,1,0,1,1,0,1,0,1,1
1,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2647,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,3,1,0,0,0,44,0,0,1,1,0,0,1,0,0,1,0,2,1,0,1,0,1,1
0,1,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1804,0,1,0,0,0,0,1,0,0,0,3,1,1,0,0,4,0,1,0,0,44,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
1,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1374,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,0,0,0,36,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1
0,0,1,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1474,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,1,0,0,33,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1
0,0,0,1,48,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6110,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,3,0,0,0,1,31,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,2
0,0,0,1,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2333,0,0,1,0,0,0,0,0,0,1,4,1,1,0,0,2,0,0,1,0,30,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1
0,1,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1158,0,0,1,0,0,0,0,1,0,0,3,1,1,0,0,1,0,0,1,0,26,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1
0,1,0,0,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6204,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,4,1,0,0,0,44,0,0,1,0,1,0,1,0,1,0,0,2,0,1,1,0,1,1
0,0,0,1,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2299,0,0,1,0,0,0,0,0,0,1,4,1,1,0,0,4,0,0,1,0,39,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
0,1,0,0,27,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5965,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,0,30,0,0,1,0,1,0,2,0,0,0,1,1,0,1,1,0,1,1
0,1,0,0,36,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2225,1,0,0,0,0,0,0,0,0,1,4,1,1,0,0,4,0,0,0,1,57,1,0,0,0,0,1,2,0,0,1,0,1,0,1,1,0,2,2
1,0,0,0,36,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6229,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,4,0,0,0,1,23,0,0,1,1,0,0,2,0,1,0,0,1,0,1,1,0,2,2
0,1,0,0,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1537,0,0,0,0,1,0,0,0,0,1,4,1,0,0,1,4,1,0,0,0,50,0,0,1,0,1,0,2,0,0,1,0,1,0,1,1,0,1,1
0,1,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1007,0,0,0,1,0,0,0,1,0,0,4,1,1,0,0,1,1,0,0,0,22,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
0,0,0,1,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1819,1,0,0,0,0,0,0,1,0,0,4,1,1,0,0,4,0,0,0,1,37,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,2,1
0,0,0,1,36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8133,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,0,30,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
0,1,0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4771,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,4,0,1,0,0,51,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
